date,time,cash_type,card,amount,product,datetime,hour,month,year_month,month_name
3/1/2024,15:50:00,card,ANON-0000-0000-0001,38.7,Latte,3/1/2024 15:50,15,Mar,2024-03,Mar
3/1/2024,19:22:00,card,ANON-0000-0000-0002,38.7,Hot Chocolate,3/1/2024 19:22,19,Mar,2024-03,Mar
3/1/2024,20:18:00,card,ANON-0000-0000-0002,38.7,Hot Chocolate,3/1/2024 20:18,20,Mar,2024-03,Mar
3/1/2024,22:33:00,card,ANON-0000-0000-0003,28.9,Americano,3/1/2024 22:33,22,Mar,2024-03,Mar
3/1/2024,0:14:00,card,ANON-0000-0000-0004,38.7,Latte,3/1/2024 0:14,0,Mar,2024-03,Mar
3/1/2024,15:47:00,card,ANON-0000-0000-0005,33.8,Americano with Milk,3/1/2024 15:47,15,Mar,2024-03,Mar
3/1/2024,19:02:00,card,ANON-0000-0000-0006,38.7,Hot Chocolate,3/1/2024 19:02,19,Mar,2024-03,Mar
3/1/2024,15:03:00,card,ANON-0000-0000-0007,33.8,Americano with Milk,3/1/2024 15:03,15,Mar,2024-03,Mar
3/1/2024,22:01:00,card,ANON-0000-0000-0008,38.7,Cocoa,3/1/2024 22:01,22,Mar,2024-03,Mar
3/1/2024,23:15:00,card,ANON-0000-0000-0008,33.8,Americano with Milk,3/1/2024 23:15,23,Mar,2024-03,Mar
3/1/2024,5:17:00,card,ANON-0000-0000-0009,33.8,Americano with Milk,3/1/2024 5:17,5,Mar,2024-03,Mar
3/2/2024,22:07:00,card,ANON-0000-0000-0010,28.9,Americano,3/2/2024 22:07,22,Mar,2024-03,Mar
3/2/2024,6:35:00,cash,Cash,40,Latte,3/2/2024 6:35,6,Mar,2024-03,Mar
3/2/2024,17:41:00,card,ANON-0000-0000-0011,33.8,Americano with Milk,3/2/2024 17:41,17,Mar,2024-03,Mar
3/2/2024,11:45:00,card,ANON-0000-0000-0012,33.8,Americano with Milk,3/2/2024 11:45,11,Mar,2024-03,Mar
3/2/2024,14:35:00,card,ANON-0000-0000-0013,28.9,Americano,3/2/2024 14:35,14,Mar,2024-03,Mar
3/2/2024,13:24:00,card,ANON-0000-0000-0014,33.8,Americano with Milk,3/2/2024 13:24,13,Mar,2024-03,Mar
3/2/2024,10:55:00,card,ANON-0000-0000-0004,28.9,Americano,3/2/2024 10:55,10,Mar,2024-03,Mar
3/3/2024,10:44:00,cash,Cash,40,Latte,3/3/2024 10:44,10,Mar,2024-03,Mar
3/3/2024,3:18:00,card,ANON-0000-0000-0015,38.7,Latte,3/3/2024 3:18,3,Mar,2024-03,Mar
3/3/2024,9:56:00,card,ANON-0000-0000-0016,28.9,Cortado,3/3/2024 9:56,9,Mar,2024-03,Mar
3/3/2024,2:56:00,card,ANON-0000-0000-0012,28.9,Americano,3/3/2024 2:56,2,Mar,2024-03,Mar
3/3/2024,9:36:00,card,ANON-0000-0000-0017,38.7,Hot Chocolate,3/3/2024 9:36,9,Mar,2024-03,Mar
3/3/2024,6:40:00,card,ANON-0000-0000-0018,38.7,Cocoa,3/3/2024 6:40,6,Mar,2024-03,Mar
3/3/2024,8:45:00,card,ANON-0000-0000-0019,28.9,Cortado,3/3/2024 8:45,8,Mar,2024-03,Mar
3/3/2024,3:23:00,card,ANON-0000-0000-0020,33.8,Americano with Milk,3/3/2024 3:23,3,Mar,2024-03,Mar
3/3/2024,4:27:00,card,ANON-0000-0000-0020,33.8,Americano with Milk,3/3/2024 4:27,4,Mar,2024-03,Mar
3/3/2024,8:05:00,card,ANON-0000-0000-0020,38.7,Hot Chocolate,3/3/2024 8:05,8,Mar,2024-03,Mar
3/4/2024,3:52:00,card,ANON-0000-0000-0001,38.7,Latte,3/4/2024 3:52,3,Mar,2024-03,Mar
3/4/2024,6:51:00,card,ANON-0000-0000-0021,38.7,Latte,3/4/2024 6:51,6,Mar,2024-03,Mar
3/4/2024,5:16:00,card,ANON-0000-0000-0012,33.8,Americano with Milk,3/4/2024 5:16,5,Mar,2024-03,Mar
3/4/2024,4:37:00,card,ANON-0000-0000-0022,24,Espresso,3/4/2024 4:37,4,Mar,2024-03,Mar
3/5/2024,11:52:00,card,ANON-0000-0000-0001,38.7,Latte,3/5/2024 11:52,11,Mar,2024-03,Mar
3/5/2024,10:56:00,card,ANON-0000-0000-0023,38.7,Latte,3/5/2024 10:56,10,Mar,2024-03,Mar
3/5/2024,10:06:00,card,ANON-0000-0000-0024,38.7,Latte,3/5/2024 10:06,10,Mar,2024-03,Mar
3/5/2024,11:25:00,card,ANON-0000-0000-0025,38.7,Hot Chocolate,3/5/2024 11:25,11,Mar,2024-03,Mar
3/5/2024,12:28:00,card,ANON-0000-0000-0026,38.7,Cocoa,3/5/2024 12:28,12,Mar,2024-03,Mar
3/5/2024,13:13:00,card,ANON-0000-0000-0027,38.7,Hot Chocolate,3/5/2024 13:13,13,Mar,2024-03,Mar
3/5/2024,14:09:00,card,ANON-0000-0000-0009,38.7,Hot Chocolate,3/5/2024 14:09,14,Mar,2024-03,Mar
3/5/2024,8:15:00,card,ANON-0000-0000-0028,28.9,Cortado,3/5/2024 8:15,8,Mar,2024-03,Mar
3/5/2024,1:31:00,card,ANON-0000-0000-0028,38.7,Hot Chocolate,3/5/2024 1:31,1,Mar,2024-03,Mar
3/6/2024,6:27:00,cash,Cash,35,Americano with Milk,3/6/2024 6:27,6,Mar,2024-03,Mar
3/6/2024,0:07:00,card,ANON-0000-0000-0012,28.9,Americano,3/6/2024 0:07,0,Mar,2024-03,Mar
3/6/2024,1:14:00,card,ANON-0000-0000-0012,28.9,Cortado,3/6/2024 1:14,1,Mar,2024-03,Mar
3/6/2024,4:01:00,card,ANON-0000-0000-0029,38.7,Cappuccino,3/6/2024 4:01,4,Mar,2024-03,Mar
3/6/2024,5:18:00,card,ANON-0000-0000-0029,38.7,Cappuccino,3/6/2024 5:18,5,Mar,2024-03,Mar
3/7/2024,8:58:00,cash,Cash,40,Latte,3/7/2024 8:58,8,Mar,2024-03,Mar
3/7/2024,18:40:00,card,ANON-0000-0000-0030,38.7,Hot Chocolate,3/7/2024 18:40,18,Mar,2024-03,Mar
3/7/2024,3:59:00,card,ANON-0000-0000-0031,38.7,Latte,3/7/2024 3:59,3,Mar,2024-03,Mar
3/7/2024,1:44:00,cash,Cash,40,Latte,3/7/2024 1:44,1,Mar,2024-03,Mar
3/7/2024,16:22:00,card,ANON-0000-0000-0032,28.9,Americano,3/7/2024 16:22,16,Mar,2024-03,Mar
3/7/2024,17:28:00,card,ANON-0000-0000-0033,33.8,Americano with Milk,3/7/2024 17:28,17,Mar,2024-03,Mar
3/8/2024,10:41:00,card,ANON-0000-0000-0012,28.9,Cortado,3/8/2024 10:41,10,Mar,2024-03,Mar
3/8/2024,22:28:00,card,ANON-0000-0000-0034,38.7,Cappuccino,3/8/2024 22:28,22,Mar,2024-03,Mar
3/8/2024,5:02:00,card,ANON-0000-0000-0035,28.9,Americano,3/8/2024 5:02,5,Mar,2024-03,Mar
3/8/2024,20:12:00,card,ANON-0000-0000-0012,28.9,Americano,3/8/2024 20:12,20,Mar,2024-03,Mar
3/8/2024,21:11:00,card,ANON-0000-0000-0033,28.9,Americano,3/8/2024 21:11,21,Mar,2024-03,Mar
3/8/2024,22:11:00,card,ANON-0000-0000-0012,33.8,Americano with Milk,3/8/2024 22:11,22,Mar,2024-03,Mar
3/8/2024,9:51:00,card,ANON-0000-0000-0036,38.7,Latte,3/8/2024 9:51,9,Mar,2024-03,Mar
3/8/2024,11:24:00,card,ANON-0000-0000-0037,38.7,Latte,3/8/2024 11:24,11,Mar,2024-03,Mar
3/9/2024,1:37:00,cash,Cash,40,Hot Chocolate,3/9/2024 1:37,1,Mar,2024-03,Mar
3/9/2024,5:15:00,card,ANON-0000-0000-0038,24,Espresso,3/9/2024 5:15,5,Mar,2024-03,Mar
3/9/2024,7:38:00,card,ANON-0000-0000-0039,28.9,Americano,3/9/2024 7:38,7,Mar,2024-03,Mar
3/9/2024,9:47:00,card,ANON-0000-0000-0012,38.7,Cappuccino,3/9/2024 9:47,9,Mar,2024-03,Mar
3/9/2024,13:03:00,card,ANON-0000-0000-0040,28.9,Americano,3/9/2024 13:03,13,Mar,2024-03,Mar
3/9/2024,14:26:00,card,ANON-0000-0000-0040,28.9,Americano,3/9/2024 14:26,14,Mar,2024-03,Mar
3/9/2024,9:22:00,card,ANON-0000-0000-0041,38.7,Latte,3/9/2024 9:22,9,Mar,2024-03,Mar
3/9/2024,17:06:00,card,ANON-0000-0000-0042,33.8,Americano with Milk,3/9/2024 17:06,17,Mar,2024-03,Mar
3/9/2024,5:10:00,card,ANON-0000-0000-0043,28.9,Cortado,3/9/2024 5:10,5,Mar,2024-03,Mar
3/9/2024,6:36:00,card,ANON-0000-0000-0043,38.7,Cappuccino,3/9/2024 6:36,6,Mar,2024-03,Mar
3/9/2024,8:01:00,card,ANON-0000-0000-0009,33.8,Americano with Milk,3/9/2024 8:01,8,Mar,2024-03,Mar
3/9/2024,2:52:00,card,ANON-0000-0000-0044,38.7,Hot Chocolate,3/9/2024 2:52,2,Mar,2024-03,Mar
3/9/2024,17:57:00,card,ANON-0000-0000-0009,38.7,Cappuccino,3/9/2024 17:57,17,Mar,2024-03,Mar
3/9/2024,19:10:00,card,ANON-0000-0000-0009,38.7,Hot Chocolate,3/9/2024 19:10,19,Mar,2024-03,Mar
3/10/2024,20:18:00,cash,Cash,30,Americano,3/10/2024 20:18,20,Mar,2024-03,Mar
3/10/2024,21:29:00,cash,Cash,35,Americano with Milk,3/10/2024 21:29,21,Mar,2024-03,Mar
3/10/2024,6:03:00,cash,Cash,40,Latte,3/10/2024 6:03,6,Mar,2024-03,Mar
3/10/2024,19:20:00,card,ANON-0000-0000-0045,24,Espresso,3/10/2024 19:20,19,Mar,2024-03,Mar
3/10/2024,3:03:00,cash,Cash,35,Americano with Milk,3/10/2024 3:03,3,Mar,2024-03,Mar
3/10/2024,10:00:00,card,ANON-0000-0000-0046,38.7,Latte,3/10/2024 10:00,10,Mar,2024-03,Mar
3/10/2024,11:54:00,card,ANON-0000-0000-0046,28.9,Cortado,3/10/2024 11:54,11,Mar,2024-03,Mar
3/11/2024,18:46:00,cash,Cash,40,Latte,3/11/2024 18:46,18,Mar,2024-03,Mar
3/11/2024,0:15:00,cash,Cash,40,Cappuccino,3/11/2024 0:15,0,Mar,2024-03,Mar
3/11/2024,0:51:00,cash,Cash,30,Cortado,3/11/2024 0:51,0,Mar,2024-03,Mar
3/11/2024,2:44:00,cash,Cash,30,Americano,3/11/2024 2:44,2,Mar,2024-03,Mar
3/11/2024,8:58:00,card,ANON-0000-0000-0035,38.7,Cappuccino,3/11/2024 8:58,8,Mar,2024-03,Mar
3/11/2024,0:26:00,card,ANON-0000-0000-0047,28.9,Americano,3/11/2024 0:26,0,Mar,2024-03,Mar
3/11/2024,1:45:00,card,ANON-0000-0000-0047,38.7,Latte,3/11/2024 1:45,1,Mar,2024-03,Mar
3/11/2024,2:49:00,card,ANON-0000-0000-0048,28.9,Cortado,3/11/2024 2:49,2,Mar,2024-03,Mar
3/12/2024,15:00:00,cash,Cash,40,Latte,3/12/2024 15:00,15,Mar,2024-03,Mar
3/12/2024,15:34:00,card,ANON-0000-0000-0033,28.9,Americano,3/12/2024 15:34,15,Mar,2024-03,Mar
3/12/2024,16:24:00,card,ANON-0000-0000-0033,28.9,Cortado,3/12/2024 16:24,16,Mar,2024-03,Mar
3/12/2024,20:45:00,card,ANON-0000-0000-0049,38.7,Hot Chocolate,3/12/2024 20:45,20,Mar,2024-03,Mar
3/12/2024,22:23:00,card,ANON-0000-0000-0004,33.8,Americano with Milk,3/12/2024 22:23,22,Mar,2024-03,Mar
3/12/2024,23:26:00,card,ANON-0000-0000-0004,28.9,Americano,3/12/2024 23:26,23,Mar,2024-03,Mar
3/12/2024,15:43:00,card,ANON-0000-0000-0050,28.9,Americano,3/12/2024 15:43,15,Mar,2024-03,Mar
3/13/2024,6:43:00,card,ANON-0000-0000-0048,38.7,Hot Chocolate,3/13/2024 6:43,6,Mar,2024-03,Mar
3/13/2024,0:16:00,card,ANON-0000-0000-0004,28.9,Americano,3/13/2024 0:16,0,Mar,2024-03,Mar
3/13/2024,18:06:00,card,ANON-0000-0000-0051,28.9,Americano,3/13/2024 18:06,18,Mar,2024-03,Mar
3/13/2024,19:05:00,card,ANON-0000-0000-0051,28.9,Americano,3/13/2024 19:05,19,Mar,2024-03,Mar
3/13/2024,10:30:00,cash,Cash,25,Espresso,3/13/2024 10:30,10,Mar,2024-03,Mar
3/13/2024,2:40:00,card,ANON-0000-0000-0052,33.8,Americano with Milk,3/13/2024 2:40,2,Mar,2024-03,Mar
3/13/2024,16:22:00,card,ANON-0000-0000-0053,24,Espresso,3/13/2024 16:22,16,Mar,2024-03,Mar
3/13/2024,17:20:00,card,ANON-0000-0000-0053,24,Espresso,3/13/2024 17:20,17,Mar,2024-03,Mar
3/13/2024,23:09:00,card,ANON-0000-0000-0054,24,Espresso,3/13/2024 23:09,23,Mar,2024-03,Mar
3/14/2024,2:12:00,cash,Cash,40,Latte,3/14/2024 2:12,2,Mar,2024-03,Mar
3/14/2024,4:33:00,card,ANON-0000-0000-0055,38.7,Latte,3/14/2024 4:33,4,Mar,2024-03,Mar
3/14/2024,5:34:00,card,ANON-0000-0000-0055,38.7,Hot Chocolate,3/14/2024 5:34,5,Mar,2024-03,Mar
3/14/2024,3:29:00,card,ANON-0000-0000-0012,28.9,Cortado,3/14/2024 3:29,3,Mar,2024-03,Mar
3/14/2024,4:24:00,card,ANON-0000-0000-0012,28.9,Americano,3/14/2024 4:24,4,Mar,2024-03,Mar
3/14/2024,3:59:00,card,ANON-0000-0000-0056,33.8,Americano with Milk,3/14/2024 3:59,3,Mar,2024-03,Mar
3/14/2024,4:56:00,card,ANON-0000-0000-0057,24,Espresso,3/14/2024 4:56,4,Mar,2024-03,Mar
3/14/2024,20:38:00,card,ANON-0000-0000-0058,38.7,Latte,3/14/2024 20:38,20,Mar,2024-03,Mar
3/14/2024,4:09:00,card,ANON-0000-0000-0059,33.8,Americano with Milk,3/14/2024 4:09,4,Mar,2024-03,Mar
3/14/2024,6:38:00,card,ANON-0000-0000-0050,24,Espresso,3/14/2024 6:38,6,Mar,2024-03,Mar
3/14/2024,10:55:00,card,ANON-0000-0000-0019,38.7,Hot Chocolate,3/14/2024 10:55,10,Mar,2024-03,Mar
3/14/2024,0:08:00,card,ANON-0000-0000-0012,28.9,Cortado,3/14/2024 0:08,0,Mar,2024-03,Mar
3/15/2024,2:16:00,cash,Cash,40,Latte,3/15/2024 2:16,2,Mar,2024-03,Mar
3/15/2024,5:02:00,card,ANON-0000-0000-0060,38.7,Hot Chocolate,3/15/2024 5:02,5,Mar,2024-03,Mar
3/15/2024,19:27:00,card,ANON-0000-0000-0012,28.9,Americano,3/15/2024 19:27,19,Mar,2024-03,Mar
3/16/2024,6:55:00,card,ANON-0000-0000-0061,33.8,Americano with Milk,3/16/2024 6:55,6,Mar,2024-03,Mar
3/16/2024,7:53:00,card,ANON-0000-0000-0061,28.9,Americano,3/16/2024 7:53,7,Mar,2024-03,Mar
3/16/2024,10:18:00,card,ANON-0000-0000-0009,28.9,Cortado,3/16/2024 10:18,10,Mar,2024-03,Mar
3/16/2024,3:21:00,card,ANON-0000-0000-0009,28.9,Cortado,3/16/2024 3:21,3,Mar,2024-03,Mar
3/16/2024,4:11:00,card,ANON-0000-0000-0012,28.9,Cortado,3/16/2024 4:11,4,Mar,2024-03,Mar
3/16/2024,10:07:00,card,ANON-0000-0000-0062,33.8,Americano with Milk,3/16/2024 10:07,10,Mar,2024-03,Mar
3/17/2024,10:21:00,cash,Cash,40,Latte,3/17/2024 10:21,10,Mar,2024-03,Mar
3/17/2024,7:26:00,card,ANON-0000-0000-0063,28.9,Cortado,3/17/2024 7:26,7,Mar,2024-03,Mar
3/18/2024,17:59:00,card,ANON-0000-0000-0064,28.9,Cortado,3/18/2024 17:59,17,Mar,2024-03,Mar
3/18/2024,7:39:00,card,ANON-0000-0000-0003,28.9,Americano,3/18/2024 7:39,7,Mar,2024-03,Mar
3/18/2024,8:38:00,card,ANON-0000-0000-0003,28.9,Americano,3/18/2024 8:38,8,Mar,2024-03,Mar
3/18/2024,9:36:00,card,ANON-0000-0000-0003,28.9,Americano,3/18/2024 9:36,9,Mar,2024-03,Mar
3/19/2024,20:26:00,cash,Cash,30,Cortado,3/19/2024 20:26,20,Mar,2024-03,Mar
3/19/2024,2:21:00,card,ANON-0000-0000-0065,38.7,Latte,3/19/2024 2:21,2,Mar,2024-03,Mar
3/19/2024,3:19:00,card,ANON-0000-0000-0065,38.7,Latte,3/19/2024 3:19,3,Mar,2024-03,Mar
3/19/2024,4:36:00,card,ANON-0000-0000-0049,38.7,Hot Chocolate,3/19/2024 4:36,4,Mar,2024-03,Mar
3/19/2024,5:48:00,card,ANON-0000-0000-0066,33.8,Americano with Milk,3/19/2024 5:48,5,Mar,2024-03,Mar
3/19/2024,2:32:00,cash,Cash,40,Hot Chocolate,3/19/2024 2:32,2,Mar,2024-03,Mar
3/20/2024,17:16:00,card,ANON-0000-0000-0012,28.9,Cortado,3/20/2024 17:16,17,Mar,2024-03,Mar
3/20/2024,21:07:00,cash,Cash,40,Latte,3/20/2024 21:07,21,Mar,2024-03,Mar
3/20/2024,6:49:00,card,ANON-0000-0000-0049,28.9,Cortado,3/20/2024 6:49,6,Mar,2024-03,Mar
3/20/2024,16:47:00,card,ANON-0000-0000-0067,38.7,Cappuccino,3/20/2024 16:47,16,Mar,2024-03,Mar
3/20/2024,18:38:00,card,ANON-0000-0000-0050,38.7,Cocoa,3/20/2024 18:38,18,Mar,2024-03,Mar
3/20/2024,2:28:00,card,ANON-0000-0000-0068,38.7,Latte,3/20/2024 2:28,2,Mar,2024-03,Mar
3/21/2024,18:57:00,cash,Cash,40,Cappuccino,3/21/2024 18:57,18,Mar,2024-03,Mar
3/21/2024,1:09:00,card,ANON-0000-0000-0012,28.9,Cortado,3/21/2024 1:09,1,Mar,2024-03,Mar
3/21/2024,2:17:00,card,ANON-0000-0000-0012,38.7,Cappuccino,3/21/2024 2:17,2,Mar,2024-03,Mar
3/21/2024,21:01:00,cash,Cash,30,Americano,3/21/2024 21:01,21,Mar,2024-03,Mar
3/21/2024,22:01:00,card,ANON-0000-0000-0012,28.9,Cortado,3/21/2024 22:01,22,Mar,2024-03,Mar
3/21/2024,20:36:00,card,ANON-0000-0000-0069,38.7,Latte,3/21/2024 20:36,20,Mar,2024-03,Mar
3/22/2024,11:53:00,card,ANON-0000-0000-0070,33.8,Americano with Milk,3/22/2024 11:53,11,Mar,2024-03,Mar
3/22/2024,5:20:00,card,ANON-0000-0000-0071,33.8,Americano with Milk,3/22/2024 5:20,5,Mar,2024-03,Mar
3/22/2024,15:14:00,cash,Cash,40,Cappuccino,3/22/2024 15:14,15,Mar,2024-03,Mar
3/22/2024,17:03:00,card,ANON-0000-0000-0012,28.9,Americano,3/22/2024 17:03,17,Mar,2024-03,Mar
3/22/2024,17:59:00,card,ANON-0000-0000-0012,24,Espresso,3/22/2024 17:59,17,Mar,2024-03,Mar
3/22/2024,20:49:00,card,ANON-0000-0000-0050,28.9,Americano,3/22/2024 20:49,20,Mar,2024-03,Mar
3/23/2024,19:59:00,card,ANON-0000-0000-0072,38.7,Latte,3/23/2024 19:59,19,Mar,2024-03,Mar
3/23/2024,21:07:00,card,ANON-0000-0000-0073,33.8,Americano with Milk,3/23/2024 21:07,21,Mar,2024-03,Mar
3/23/2024,10:07:00,card,ANON-0000-0000-0074,38.7,Cappuccino,3/23/2024 10:07,10,Mar,2024-03,Mar
3/23/2024,11:12:00,card,ANON-0000-0000-0074,38.7,Cocoa,3/23/2024 11:12,11,Mar,2024-03,Mar
3/23/2024,20:41:00,card,ANON-0000-0000-0075,33.8,Americano with Milk,3/23/2024 20:41,20,Mar,2024-03,Mar
3/23/2024,23:19:00,card,ANON-0000-0000-0076,38.7,Latte,3/23/2024 23:19,23,Mar,2024-03,Mar
3/23/2024,1:33:00,card,ANON-0000-0000-0076,33.8,Americano with Milk,3/23/2024 1:33,1,Mar,2024-03,Mar
3/23/2024,0:58:00,card,ANON-0000-0000-0009,28.9,Cortado,3/23/2024 0:58,0,Mar,2024-03,Mar
3/24/2024,3:56:00,cash,Cash,40,Latte,3/24/2024 3:56,3,Mar,2024-03,Mar
3/24/2024,21:08:00,card,ANON-0000-0000-0077,38.7,Latte,3/24/2024 21:08,21,Mar,2024-03,Mar
3/25/2024,7:47:00,card,ANON-0000-0000-0009,38.7,Latte,3/25/2024 7:47,7,Mar,2024-03,Mar
3/25/2024,16:25:00,cash,Cash,35,Americano with Milk,3/25/2024 16:25,16,Mar,2024-03,Mar
3/25/2024,3:09:00,card,ANON-0000-0000-0078,38.7,Latte,3/25/2024 3:09,3,Mar,2024-03,Mar
3/25/2024,5:25:00,card,ANON-0000-0000-0017,38.7,Latte,3/25/2024 5:25,5,Mar,2024-03,Mar
3/25/2024,13:30:00,card,ANON-0000-0000-0024,33.8,Americano with Milk,3/25/2024 13:30,13,Mar,2024-03,Mar
3/25/2024,10:24:00,card,ANON-0000-0000-0079,38.7,Cappuccino,3/25/2024 10:24,10,Mar,2024-03,Mar
3/26/2024,11:49:00,card,ANON-0000-0000-0055,38.7,Cocoa,3/26/2024 11:49,11,Mar,2024-03,Mar
3/26/2024,12:36:00,card,ANON-0000-0000-0055,38.7,Latte,3/26/2024 12:36,12,Mar,2024-03,Mar
3/26/2024,18:30:00,card,ANON-0000-0000-0080,38.7,Latte,3/26/2024 18:30,18,Mar,2024-03,Mar
3/26/2024,11:47:00,card,ANON-0000-0000-0009,28.9,Cortado,3/26/2024 11:47,11,Mar,2024-03,Mar
3/26/2024,11:52:00,card,ANON-0000-0000-0003,28.9,Americano,3/26/2024 11:52,11,Mar,2024-03,Mar
3/26/2024,12:49:00,card,ANON-0000-0000-0032,28.9,Cortado,3/26/2024 12:49,12,Mar,2024-03,Mar
3/26/2024,13:59:00,card,ANON-0000-0000-0059,28.9,Cortado,3/26/2024 13:59,13,Mar,2024-03,Mar
3/26/2024,9:53:00,card,ANON-0000-0000-0050,28.9,Americano,3/26/2024 9:53,9,Mar,2024-03,Mar
3/26/2024,0:02:00,card,ANON-0000-0000-0081,38.7,Latte,3/26/2024 0:02,0,Mar,2024-03,Mar
